2025/06/30 10:09:54 配置文件加载成功！
2025/06/30 10:09:54 数据库连接成功！
2025/06/30 10:09:54 数据库迁移成功！
2025/06/30 10:09:54 Redis 连接成功！
2025/06/30 10:09:54 WebSocket Hub 已启动
2025/06/30 10:09:54 🔧 后台 Worker 已启动，正在等待任务...
2025/06/30 10:09:54 ✅ WebSocket通知已启用
2025/06/30 10:11:05 📋 接收到新任务, 图片 ID: 1282
2025/06/30 22:35:13 📋 接收到新任务, 图片 ID: 1291
2025/06/30 22:35:13 ✅ 成功处理图片 (ID: 1291), 缩略图路径: uploads/thumbnails/thumb-20250630223513-kodim04.png
2025/06/30 22:35:14 📋 接收到新任务, 图片 ID: 1292
2025/06/30 22:35:14 ✅ 成功处理图片 (ID: 1292), 缩略图路径: uploads/thumbnails/thumb-20250630223514-kodim05.png
2025/06/30 22:35:14 📋 接收到新任务, 图片 ID: 1293
2025/06/30 22:35:14 ✅ 成功处理图片 (ID: 1293), 缩略图路径: uploads/thumbnails/thumb-20250630223514-kodim06.png
2025/06/30 22:35:14 📋 接收到新任务, 图片 ID: 1294
2025/06/30 22:35:14 ✅ 成功处理图片 (ID: 1294), 缩略图路径: uploads/thumbnails/thumb-20250630223514-kodim07.png
2025/06/30 22:35:14 📋 接收到新任务, 图片 ID: 1295
2025/06/30 22:35:14 ✅ 成功处理图片 (ID: 1295), 缩略图路径: uploads/thumbnails/thumb-20250630223514-kodim08.png
2025/06/30 22:35:15 📋 接收到新任务, 图片 ID: 1296
2025/06/30 22:35:15 ✅ 成功处理图片 (ID: 1296), 缩略图路径: uploads/thumbnails/thumb-20250630223515-kodim09.png
2025/06/30 22:35:15 📋 接收到新任务, 图片 ID: 1297
2025/06/30 22:35:15 ✅ 成功处理图片 (ID: 1297), 缩略图路径: uploads/thumbnails/thumb-20250630223515-kodim10.png
2025/06/30 22:35:15 📋 接收到新任务, 图片 ID: 1298
2025/06/30 22:35:15 ✅ 成功处理图片 (ID: 1298), 缩略图路径: uploads/thumbnails/thumb-20250630223515-kodim11.png
2025/06/30 22:35:15 📋 接收到新任务, 图片 ID: 1299
2025/06/30 22:35:15 ✅ 成功处理图片 (ID: 1299), 缩略图路径: uploads/thumbnails/thumb-20250630223515-kodim12.png
2025/06/30 22:35:15 📋 接收到新任务, 图片 ID: 1300
2025/06/30 22:35:15 ✅ 成功处理图片 (ID: 1300), 缩略图路径: uploads/thumbnails/thumb-20250630223515-kodim13.png
2025/06/30 22:35:16 📋 接收到新任务, 图片 ID: 1301
2025/06/30 22:35:16 ✅ 成功处理图片 (ID: 1301), 缩略图路径: uploads/thumbnails/thumb-20250630223516-kodim14.png
2025/06/30 22:35:16 📋 接收到新任务, 图片 ID: 1302
2025/06/30 22:35:16 ✅ 成功处理图片 (ID: 1302), 缩略图路径: uploads/thumbnails/thumb-20250630223516-kodim15.png
2025/06/30 22:35:16 📋 接收到新任务, 图片 ID: 1303
2025/06/30 22:35:16 ✅ 成功处理图片 (ID: 1303), 缩略图路径: uploads/thumbnails/thumb-20250630223516-kodim16.png
2025/06/30 22:35:16 📋 接收到新任务, 图片 ID: 1304
2025/06/30 22:35:16 ✅ 成功处理图片 (ID: 1304), 缩略图路径: uploads/thumbnails/thumb-20250630223516-kodim17.png
2025/06/30 22:35:17 📋 接收到新任务, 图片 ID: 1305
2025/06/30 22:35:17 ✅ 成功处理图片 (ID: 1305), 缩略图路径: uploads/thumbnails/thumb-20250630223517-kodim18.png
2025/06/30 22:35:17 📋 接收到新任务, 图片 ID: 1306
2025/06/30 22:35:17 ✅ 成功处理图片 (ID: 1306), 缩略图路径: uploads/thumbnails/thumb-20250630223517-kodim19.png
2025/06/30 22:35:17 📋 接收到新任务, 图片 ID: 1307
2025/06/30 22:35:17 ✅ 成功处理图片 (ID: 1307), 缩略图路径: uploads/thumbnails/thumb-20250630223517-kodim20.png
2025/06/30 22:35:17 📋 接收到新任务, 图片 ID: 1308
2025/06/30 22:35:17 ✅ 成功处理图片 (ID: 1308), 缩略图路径: uploads/thumbnails/thumb-20250630223517-kodim21.png
2025/06/30 22:35:17 📋 接收到新任务, 图片 ID: 1309
2025/06/30 22:35:18 ✅ 成功处理图片 (ID: 1309), 缩略图路径: uploads/thumbnails/thumb-20250630223518-kodim22.png
2025/06/30 22:35:18 📋 接收到新任务, 图片 ID: 1310
2025/06/30 22:35:18 ✅ 成功处理图片 (ID: 1310), 缩略图路径: uploads/thumbnails/thumb-20250630223518-kodim23.png
2025/06/30 22:35:18 📋 接收到新任务, 图片 ID: 1311
2025/06/30 22:35:18 ✅ 成功处理图片 (ID: 1311), 缩略图路径: uploads/thumbnails/thumb-20250630223518-kodim24.png
2025/06/30 22:35:54 📋 接收到新任务, 图片 ID: 1312
2025/06/30 22:35:54 ✅ 成功处理图片 (ID: 1312), 缩略图路径: uploads/thumbnails/thumb-20250630223554-kodim01.png
2025/06/30 22:36:24 📋 接收到新任务, 图片 ID: 1313
2025/06/30 22:36:24 ✅ 成功处理图片 (ID: 1313), 缩略图路径: uploads/thumbnails/thumb-20250630223624-kodim01.png
2025/06/30 22:36:24 📋 接收到新任务, 图片 ID: 1314
2025/06/30 22:36:24 ✅ 成功处理图片 (ID: 1314), 缩略图路径: uploads/thumbnails/thumb-20250630223624-kodim02.png
2025/06/30 22:36:24 📋 接收到新任务, 图片 ID: 1315
2025/06/30 22:36:24 ✅ 成功处理图片 (ID: 1315), 缩略图路径: uploads/thumbnails/thumb-20250630223624-kodim03.png
2025/06/30 22:36:24 📋 接收到新任务, 图片 ID: 1316
2025/06/30 22:36:24 ✅ 成功处理图片 (ID: 1316), 缩略图路径: uploads/thumbnails/thumb-20250630223624-kodim04.png
2025/06/30 22:36:25 📋 接收到新任务, 图片 ID: 1317
2025/06/30 22:36:25 ✅ 成功处理图片 (ID: 1317), 缩略图路径: uploads/thumbnails/thumb-20250630223625-kodim05.png
2025/06/30 22:36:25 📋 接收到新任务, 图片 ID: 1318
2025/06/30 22:36:25 ✅ 成功处理图片 (ID: 1318), 缩略图路径: uploads/thumbnails/thumb-20250630223625-kodim06.png
2025/06/30 22:36:25 📋 接收到新任务, 图片 ID: 1319
2025/06/30 22:36:25 ✅ 成功处理图片 (ID: 1319), 缩略图路径: uploads/thumbnails/thumb-20250630223625-kodim07.png
2025/06/30 22:36:25 📋 接收到新任务, 图片 ID: 1320
2025/06/30 22:36:25 ✅ 成功处理图片 (ID: 1320), 缩略图路径: uploads/thumbnails/thumb-20250630223625-kodim08.png
2025/06/30 22:36:26 📋 接收到新任务, 图片 ID: 1321
2025/06/30 22:36:26 ✅ 成功处理图片 (ID: 1321), 缩略图路径: uploads/thumbnails/thumb-20250630223626-kodim09.png
2025/06/30 22:36:26 📋 接收到新任务, 图片 ID: 1322
2025/06/30 22:36:26 ✅ 成功处理图片 (ID: 1322), 缩略图路径: uploads/thumbnails/thumb-20250630223626-kodim10.png
2025/06/30 22:36:26 📋 接收到新任务, 图片 ID: 1323
2025/06/30 22:36:26 ✅ 成功处理图片 (ID: 1323), 缩略图路径: uploads/thumbnails/thumb-20250630223626-kodim11.png
2025/06/30 22:36:26 📋 接收到新任务, 图片 ID: 1324
2025/06/30 22:36:26 ✅ 成功处理图片 (ID: 1324), 缩略图路径: uploads/thumbnails/thumb-20250630223626-kodim12.png
2025/06/30 22:36:27 📋 接收到新任务, 图片 ID: 1325
2025/06/30 22:36:27 ✅ 成功处理图片 (ID: 1325), 缩略图路径: uploads/thumbnails/thumb-20250630223627-kodim13.png
2025/06/30 22:36:27 📋 接收到新任务, 图片 ID: 1326
2025/06/30 22:36:27 ✅ 成功处理图片 (ID: 1326), 缩略图路径: uploads/thumbnails/thumb-20250630223627-kodim14.png
2025/06/30 22:36:27 📋 接收到新任务, 图片 ID: 1327
2025/06/30 22:36:27 ✅ 成功处理图片 (ID: 1327), 缩略图路径: uploads/thumbnails/thumb-20250630223627-kodim15.png
2025/06/30 22:36:28 📋 接收到新任务, 图片 ID: 1328
2025/06/30 22:36:28 ✅ 成功处理图片 (ID: 1328), 缩略图路径: uploads/thumbnails/thumb-20250630223628-kodim16.png
2025/06/30 22:36:28 📋 接收到新任务, 图片 ID: 1329
2025/06/30 22:36:28 ✅ 成功处理图片 (ID: 1329), 缩略图路径: uploads/thumbnails/thumb-20250630223628-kodim17.png
2025/06/30 22:36:28 📋 接收到新任务, 图片 ID: 1330
2025/06/30 22:36:28 ✅ 成功处理图片 (ID: 1330), 缩略图路径: uploads/thumbnails/thumb-20250630223628-kodim18.png
2025/06/30 22:36:29 📋 接收到新任务, 图片 ID: 1331
2025/06/30 22:36:29 ✅ 成功处理图片 (ID: 1331), 缩略图路径: uploads/thumbnails/thumb-20250630223629-kodim19.png
2025/06/30 22:36:29 📋 接收到新任务, 图片 ID: 1332
2025/06/30 22:36:29 ✅ 成功处理图片 (ID: 1332), 缩略图路径: uploads/thumbnails/thumb-20250630223629-kodim20.png
2025/06/30 22:36:30 📋 接收到新任务, 图片 ID: 1333
2025/06/30 22:36:30 ✅ 成功处理图片 (ID: 1333), 缩略图路径: uploads/thumbnails/thumb-20250630223630-kodim21.png
2025/06/30 22:36:30 📋 接收到新任务, 图片 ID: 1334
2025/06/30 22:36:30 ✅ 成功处理图片 (ID: 1334), 缩略图路径: uploads/thumbnails/thumb-20250630223630-kodim22.png
2025/06/30 22:36:30 📋 接收到新任务, 图片 ID: 1335
2025/06/30 22:36:30 ✅ 成功处理图片 (ID: 1335), 缩略图路径: uploads/thumbnails/thumb-20250630223630-kodim23.png
2025/06/30 22:36:30 📋 接收到新任务, 图片 ID: 1336
2025/06/30 22:36:30 ✅ 成功处理图片 (ID: 1336), 缩略图路径: uploads/thumbnails/thumb-20250630223630-kodim24.png
2025/06/30 22:37:24 📋 接收到新任务, 图片 ID: 1337
2025/06/30 22:37:24 ✅ 成功处理图片 (ID: 1337), 缩略图路径: uploads/thumbnails/thumb-20250630223724-kodim06.png
2025/06/30 22:52:00 📋 接收到新任务, 图片 ID: 1338
2025/06/30 22:52:00 ✅ 成功处理图片 (ID: 1338), 缩略图路径: uploads/thumbnails/thumb-20250630225200-kodim01.png
2025/06/30 22:52:01 📋 接收到新任务, 图片 ID: 1339
2025/06/30 22:52:01 ✅ 成功处理图片 (ID: 1339), 缩略图路径: uploads/thumbnails/thumb-20250630225201-kodim02.png
2025/06/30 22:52:02 📋 接收到新任务, 图片 ID: 1340
2025/06/30 22:52:02 ✅ 成功处理图片 (ID: 1340), 缩略图路径: uploads/thumbnails/thumb-20250630225202-kodim03.png
2025/06/30 22:52:05 📋 接收到新任务, 图片 ID: 1341
2025/06/30 22:52:05 ✅ 成功处理图片 (ID: 1341), 缩略图路径: uploads/thumbnails/thumb-20250630225205-kodim04.png
2025/06/30 22:52:05 📋 接收到新任务, 图片 ID: 1342
2025/06/30 22:52:05 ✅ 成功处理图片 (ID: 1342), 缩略图路径: uploads/thumbnails/thumb-20250630225205-kodim05.png
2025/06/30 22:52:05 📋 接收到新任务, 图片 ID: 1343
2025/06/30 22:52:05 ✅ 成功处理图片 (ID: 1343), 缩略图路径: uploads/thumbnails/thumb-20250630225205-kodim06.png
2025/06/30 22:52:06 📋 接收到新任务, 图片 ID: 1344
2025/06/30 22:52:06 ✅ 成功处理图片 (ID: 1344), 缩略图路径: uploads/thumbnails/thumb-20250630225206-kodim07.png
2025/06/30 22:52:06 📋 接收到新任务, 图片 ID: 1345
2025/06/30 22:52:06 ✅ 成功处理图片 (ID: 1345), 缩略图路径: uploads/thumbnails/thumb-20250630225206-kodim08.png
2025/06/30 22:52:06 📋 接收到新任务, 图片 ID: 1346
2025/06/30 22:52:07 ✅ 成功处理图片 (ID: 1346), 缩略图路径: uploads/thumbnails/thumb-20250630225207-kodim09.png
2025/06/30 22:52:07 📋 接收到新任务, 图片 ID: 1347
2025/06/30 22:52:07 ✅ 成功处理图片 (ID: 1347), 缩略图路径: uploads/thumbnails/thumb-20250630225207-kodim10.png
2025/06/30 22:52:07 📋 接收到新任务, 图片 ID: 1348
2025/06/30 22:52:07 ✅ 成功处理图片 (ID: 1348), 缩略图路径: uploads/thumbnails/thumb-20250630225207-kodim11.png
2025/06/30 22:52:08 📋 接收到新任务, 图片 ID: 1349
2025/06/30 22:52:08 ✅ 成功处理图片 (ID: 1349), 缩略图路径: uploads/thumbnails/thumb-20250630225208-kodim12.png
2025/06/30 22:52:08 📋 接收到新任务, 图片 ID: 1350
2025/06/30 22:52:08 ✅ 成功处理图片 (ID: 1350), 缩略图路径: uploads/thumbnails/thumb-20250630225208-kodim13.png
2025/06/30 22:52:08 📋 接收到新任务, 图片 ID: 1351
2025/06/30 22:52:08 ✅ 成功处理图片 (ID: 1351), 缩略图路径: uploads/thumbnails/thumb-20250630225208-kodim14.png
2025/06/30 22:52:09 📋 接收到新任务, 图片 ID: 1352
2025/06/30 22:52:09 ✅ 成功处理图片 (ID: 1352), 缩略图路径: uploads/thumbnails/thumb-20250630225209-kodim15.png
2025/06/30 22:52:09 📋 接收到新任务, 图片 ID: 1353
2025/06/30 22:52:09 ✅ 成功处理图片 (ID: 1353), 缩略图路径: uploads/thumbnails/thumb-20250630225209-kodim16.png
2025/06/30 22:52:09 📋 接收到新任务, 图片 ID: 1354
2025/06/30 22:52:09 ✅ 成功处理图片 (ID: 1354), 缩略图路径: uploads/thumbnails/thumb-20250630225209-kodim17.png
2025/06/30 22:52:10 📋 接收到新任务, 图片 ID: 1355
2025/06/30 22:52:10 ✅ 成功处理图片 (ID: 1355), 缩略图路径: uploads/thumbnails/thumb-20250630225210-kodim18.png
2025/06/30 22:52:10 📋 接收到新任务, 图片 ID: 1356
2025/06/30 22:52:10 ✅ 成功处理图片 (ID: 1356), 缩略图路径: uploads/thumbnails/thumb-20250630225210-kodim19.png
2025/06/30 22:52:11 📋 接收到新任务, 图片 ID: 1357
2025/06/30 22:52:11 ✅ 成功处理图片 (ID: 1357), 缩略图路径: uploads/thumbnails/thumb-20250630225211-kodim20.png
2025/06/30 22:52:11 📋 接收到新任务, 图片 ID: 1358
2025/06/30 22:52:11 ✅ 成功处理图片 (ID: 1358), 缩略图路径: uploads/thumbnails/thumb-20250630225211-kodim21.png
2025/06/30 22:52:11 📋 接收到新任务, 图片 ID: 1359
2025/06/30 22:52:11 ✅ 成功处理图片 (ID: 1359), 缩略图路径: uploads/thumbnails/thumb-20250630225211-kodim22.png
2025/06/30 22:52:12 📋 接收到新任务, 图片 ID: 1360
2025/06/30 22:52:12 ✅ 成功处理图片 (ID: 1360), 缩略图路径: uploads/thumbnails/thumb-20250630225212-kodim23.png
2025/06/30 22:52:12 📋 接收到新任务, 图片 ID: 1361
2025/06/30 22:52:12 ✅ 成功处理图片 (ID: 1361), 缩略图路径: uploads/thumbnails/thumb-20250630225212-kodim24.png
2025/06/30 22:53:05 📋 接收到新任务, 图片 ID: 1362
2025/06/30 22:53:05 ✅ 成功处理图片 (ID: 1362), 缩略图路径: uploads/thumbnails/thumb-20250630225305-camera_1751295184493.jpg
2025/06/30 22:55:59 📋 接收到新任务, 图片 ID: 1363
2025/06/30 22:55:59 ✅ 成功处理图片 (ID: 1363), 缩略图路径: uploads/thumbnails/thumb-20250630225559-airplane.png
2025/06/30 22:55:59 📋 接收到新任务, 图片 ID: 1364
2025/06/30 22:55:59 ✅ 成功处理图片 (ID: 1364), 缩略图路径: uploads/thumbnails/thumb-20250630225559-arctichare.png
2025/06/30 22:56:00 📋 接收到新任务, 图片 ID: 1365
2025/06/30 22:56:00 ✅ 成功处理图片 (ID: 1365), 缩略图路径: uploads/thumbnails/thumb-20250630225600-baboon.png
2025/06/30 22:56:00 📋 接收到新任务, 图片 ID: 1366
2025/06/30 22:56:00 错误: 解码图像 uploads/originals/20250630225600-barbara.bmp 失败: image: unknown format
2025/06/30 22:56:00 ❌ 错误: 处理图片 (ID: 1366) 失败: 无法解码图像，可能是不支持的格式
2025/06/30 22:56:00 📋 接收到新任务, 图片 ID: 1367
2025/06/30 22:56:00 ✅ 成功处理图片 (ID: 1367), 缩略图路径: uploads/thumbnails/thumb-20250630225600-barbara.png
2025/06/30 22:56:00 📋 接收到新任务, 图片 ID: 1368
2025/06/30 22:56:00 ✅ 成功处理图片 (ID: 1368), 缩略图路径: uploads/thumbnails/thumb-20250630225600-boat.png
2025/06/30 22:56:00 📋 接收到新任务, 图片 ID: 1369
2025/06/30 22:56:00 错误: 解码图像 uploads/originals/20250630225600-boy.bmp 失败: image: unknown format
2025/06/30 22:56:00 ❌ 错误: 处理图片 (ID: 1369) 失败: 无法解码图像，可能是不支持的格式
2025/06/30 22:56:01 📋 接收到新任务, 图片 ID: 1370
2025/06/30 22:56:01 错误: 解码图像 uploads/originals/20250630225601-cameraman.tif 失败: image: unknown format
2025/06/30 22:56:01 ❌ 错误: 处理图片 (ID: 1370) 失败: 无法解码图像，可能是不支持的格式
2025/06/30 22:56:01 📋 接收到新任务, 图片 ID: 1371
2025/06/30 22:56:01 ✅ 成功处理图片 (ID: 1371), 缩略图路径: uploads/thumbnails/thumb-20250630225601-cat.png
2025/06/30 22:56:01 📋 接收到新任务, 图片 ID: 1372
2025/06/30 22:56:01 ✅ 成功处理图片 (ID: 1372), 缩略图路径: uploads/thumbnails/thumb-20250630225601-fruits.png
2025/06/30 22:56:01 📋 接收到新任务, 图片 ID: 1373
2025/06/30 22:56:01 ✅ 成功处理图片 (ID: 1373), 缩略图路径: uploads/thumbnails/thumb-20250630225601-frymire.png
2025/06/30 22:56:02 📋 接收到新任务, 图片 ID: 1374
2025/06/30 22:56:02 ✅ 成功处理图片 (ID: 1374), 缩略图路径: uploads/thumbnails/thumb-20250630225602-girl.png
2025/06/30 22:56:02 📋 接收到新任务, 图片 ID: 1375
2025/06/30 22:56:02 错误: 解码图像 uploads/originals/20250630225602-goldhill.bmp 失败: image: unknown format
2025/06/30 22:56:02 ❌ 错误: 处理图片 (ID: 1375) 失败: 无法解码图像，可能是不支持的格式
2025/06/30 22:56:02 📋 接收到新任务, 图片 ID: 1376
2025/06/30 22:56:02 ✅ 成功处理图片 (ID: 1376), 缩略图路径: uploads/thumbnails/thumb-20250630225602-goldhill.png
2025/06/30 22:56:02 📋 接收到新任务, 图片 ID: 1377
2025/06/30 22:56:02 错误: 解码图像 uploads/originals/20250630225602-lena.bmp 失败: image: unknown format
2025/06/30 22:56:02 ❌ 错误: 处理图片 (ID: 1377) 失败: 无法解码图像，可能是不支持的格式
2025/06/30 22:56:02 📋 接收到新任务, 图片 ID: 1378
2025/06/30 22:56:03 ✅ 成功处理图片 (ID: 1378), 缩略图路径: uploads/thumbnails/thumb-20250630225603-lena.png
2025/06/30 22:56:03 📋 接收到新任务, 图片 ID: 1379
2025/06/30 22:56:03 ✅ 成功处理图片 (ID: 1379), 缩略图路径: uploads/thumbnails/thumb-20250630225603-monarch.png
2025/06/30 22:56:03 📋 接收到新任务, 图片 ID: 1380
2025/06/30 22:56:03 错误: 解码图像 uploads/originals/20250630225603-mountain.bmp 失败: image: unknown format
2025/06/30 22:56:03 ❌ 错误: 处理图片 (ID: 1380) 失败: 无法解码图像，可能是不支持的格式
2025/06/30 22:56:03 📋 接收到新任务, 图片 ID: 1381
2025/06/30 22:56:03 ✅ 成功处理图片 (ID: 1381), 缩略图路径: uploads/thumbnails/thumb-20250630225603-mountain.png
2025/06/30 22:56:03 📋 接收到新任务, 图片 ID: 1382
2025/06/30 22:56:03 ✅ 成功处理图片 (ID: 1382), 缩略图路径: uploads/thumbnails/thumb-20250630225603-peppers.png
2025/06/30 22:56:03 📋 接收到新任务, 图片 ID: 1383
2025/06/30 22:56:04 ✅ 成功处理图片 (ID: 1383), 缩略图路径: uploads/thumbnails/thumb-20250630225604-pool.png
2025/06/30 22:56:04 📋 接收到新任务, 图片 ID: 1384
2025/06/30 22:56:04 错误: 解码图像 uploads/originals/20250630225604-sails.bmp 失败: image: unknown format
2025/06/30 22:56:04 ❌ 错误: 处理图片 (ID: 1384) 失败: 无法解码图像，可能是不支持的格式
2025/06/30 22:56:04 📋 接收到新任务, 图片 ID: 1385
2025/06/30 22:56:04 ✅ 成功处理图片 (ID: 1385), 缩略图路径: uploads/thumbnails/thumb-20250630225604-sails.png
2025/06/30 22:56:05 📋 接收到新任务, 图片 ID: 1386
2025/06/30 22:56:05 ✅ 成功处理图片 (ID: 1386), 缩略图路径: uploads/thumbnails/thumb-20250630225605-serrano.png
2025/06/30 22:56:05 📋 接收到新任务, 图片 ID: 1387
2025/06/30 22:56:05 ✅ 成功处理图片 (ID: 1387), 缩略图路径: uploads/thumbnails/thumb-20250630225605-tulips.png
2025/06/30 22:56:05 📋 接收到新任务, 图片 ID: 1388
2025/06/30 22:56:05 ✅ 成功处理图片 (ID: 1388), 缩略图路径: uploads/thumbnails/thumb-20250630225605-watch.png
2025/06/30 22:56:06 📋 接收到新任务, 图片 ID: 1389
2025/06/30 22:56:06 ✅ 成功处理图片 (ID: 1389), 缩略图路径: uploads/thumbnails/thumb-20250630225606-zelda.png
2025/07/01 08:55:00 📋 接收到新任务, 图片 ID: 1390
[mysql] 2025/07/01 08:55:00 packets.go:122: closing bad idle connection: unexpected read from socket
[mysql] 2025/07/01 08:55:00 connection.go:173: driver: bad connection
2025/07/01 08:55:00 ✅ 成功处理图片 (ID: 1390), 缩略图路径: uploads/thumbnails/thumb-20250701085500-airplane.png
2025/07/01 08:55:00 📋 接收到新任务, 图片 ID: 1391
2025/07/01 08:55:00 ✅ 成功处理图片 (ID: 1391), 缩略图路径: uploads/thumbnails/thumb-20250701085500-arctichare.png
2025/07/01 08:55:00 📋 接收到新任务, 图片 ID: 1392
2025/07/01 08:55:00 ✅ 成功处理图片 (ID: 1392), 缩略图路径: uploads/thumbnails/thumb-20250701085500-baboon.png
2025/07/01 08:55:01 📋 接收到新任务, 图片 ID: 1393
2025/07/01 08:55:01 错误: 解码图像 uploads/originals/20250701085500-barbara.bmp 失败: image: unknown format
2025/07/01 08:55:01 ❌ 错误: 处理图片 (ID: 1393) 失败: 无法解码图像，可能是不支持的格式
2025/07/01 08:55:01 📋 接收到新任务, 图片 ID: 1394
2025/07/01 08:55:01 ✅ 成功处理图片 (ID: 1394), 缩略图路径: uploads/thumbnails/thumb-20250701085501-barbara.png
2025/07/01 08:55:01 📋 接收到新任务, 图片 ID: 1395
2025/07/01 08:55:01 ✅ 成功处理图片 (ID: 1395), 缩略图路径: uploads/thumbnails/thumb-20250701085501-boat.png
2025/07/01 08:55:01 📋 接收到新任务, 图片 ID: 1396
2025/07/01 08:55:01 错误: 解码图像 uploads/originals/20250701085501-boy.bmp 失败: image: unknown format
2025/07/01 08:55:01 ❌ 错误: 处理图片 (ID: 1396) 失败: 无法解码图像，可能是不支持的格式
2025/07/01 08:55:01 📋 接收到新任务, 图片 ID: 1397
2025/07/01 08:55:01 错误: 解码图像 uploads/originals/20250701085501-cameraman.tif 失败: image: unknown format
2025/07/01 08:55:01 ❌ 错误: 处理图片 (ID: 1397) 失败: 无法解码图像，可能是不支持的格式
2025/07/01 08:55:01 📋 接收到新任务, 图片 ID: 1398
2025/07/01 08:55:02 ✅ 成功处理图片 (ID: 1398), 缩略图路径: uploads/thumbnails/thumb-20250701085502-cat.png
2025/07/01 08:55:02 📋 接收到新任务, 图片 ID: 1399
2025/07/01 08:55:02 ✅ 成功处理图片 (ID: 1399), 缩略图路径: uploads/thumbnails/thumb-20250701085502-fruits.png
2025/07/01 08:55:02 📋 接收到新任务, 图片 ID: 1400
2025/07/01 08:55:02 ✅ 成功处理图片 (ID: 1400), 缩略图路径: uploads/thumbnails/thumb-20250701085502-frymire.png
2025/07/01 08:55:02 📋 接收到新任务, 图片 ID: 1401
2025/07/01 08:55:02 ✅ 成功处理图片 (ID: 1401), 缩略图路径: uploads/thumbnails/thumb-20250701085502-girl.png
2025/07/01 08:55:02 📋 接收到新任务, 图片 ID: 1402
2025/07/01 08:55:02 错误: 解码图像 uploads/originals/20250701085502-goldhill.bmp 失败: image: unknown format
2025/07/01 08:55:02 ❌ 错误: 处理图片 (ID: 1402) 失败: 无法解码图像，可能是不支持的格式
2025/07/01 08:55:02 📋 接收到新任务, 图片 ID: 1403
2025/07/01 08:55:02 ✅ 成功处理图片 (ID: 1403), 缩略图路径: uploads/thumbnails/thumb-20250701085502-goldhill.png
2025/07/01 08:55:02 📋 接收到新任务, 图片 ID: 1404
2025/07/01 08:55:02 错误: 解码图像 uploads/originals/20250701085502-lena.bmp 失败: image: unknown format
2025/07/01 08:55:02 ❌ 错误: 处理图片 (ID: 1404) 失败: 无法解码图像，可能是不支持的格式
2025/07/01 08:55:03 📋 接收到新任务, 图片 ID: 1405
2025/07/01 08:55:03 ✅ 成功处理图片 (ID: 1405), 缩略图路径: uploads/thumbnails/thumb-20250701085503-lena.png
2025/07/01 08:55:03 📋 接收到新任务, 图片 ID: 1406
2025/07/01 08:55:03 ✅ 成功处理图片 (ID: 1406), 缩略图路径: uploads/thumbnails/thumb-20250701085503-monarch.png
2025/07/01 08:55:03 📋 接收到新任务, 图片 ID: 1407
2025/07/01 08:55:03 错误: 解码图像 uploads/originals/20250701085503-mountain.bmp 失败: image: unknown format
2025/07/01 08:55:03 ❌ 错误: 处理图片 (ID: 1407) 失败: 无法解码图像，可能是不支持的格式
2025/07/01 08:55:03 📋 接收到新任务, 图片 ID: 1408
